fid,ang_connectivity,ang_meandepth,class_connectivity,met_choice,met_choice_1000,met_choice_1250,met_choice_1500,met_choice_1750,met_choice_2000,met_choice_250,met_choice_2500,met_choice_3000,met_choice_500,met_choice_750,met_meandepth,met_meandepth_1000,met_meandepth_1250,met_meandepth_1500,met_meandepth_1750,met_meandepth_2000,met_meandepth_250,met_meandepth_2500,met_meandepth_3000,met_meandepth_500,met_meandepth_750,ang_choice,ang_choice_1000,ang_choice_1250,ang_choice_1500,ang_choice_1750,ang_choice_2000,ang_choice_250,ang_choice_2500,ang_choice_3000,ang_choice_500,ang_choice_750,ang_integration,ang_integration_1000,ang_integration_1250,ang_integration_1500,ang_integration_1750,ang_integration_2000,ang_integration_250,ang_integration_2500,ang_integration_3000,ang_integration_500,ang_integration_750,compteur,type_chemin,type_transport,jeu_7_9,jeu_11_13,jeu_17_19,sam_7_9,sam_11_13,sam_17_19
"1",4.2933731,5.5584884,6,130655,30442,48178,70670,91874,111960,917,129167,130540,5713,16060,1240.7856,595.40155,744.97479,911.76709,1052.2966,1170.0876,147.81055,1240.036,1240.7856,297.86075,448.16446,25500,17635,26246,33941,38296,40929,846,33760,26310,3481,9085,595.16461,246.23897,315.63309,398.82434,467.88199,530.81268,49.778801,584.92853,592.59552,112.5349,172.91953,"00000","1","0",,,,,,
"2",3.6214051,6.2482719,5,214801,11457,24108,41125,59372,78254,63,124896,180206,799,3948,1573.2247,666.18073,820.82867,926.38666,1029.7267,1147.4435,174.14061,1387.5135,1549.9126,335.10086,509.96027,437201,11660,29855,59314,94359,142796,22,242610,356365,844,4030,529.10748,213.3405,269.46542,322.56479,358.03424,398.65555,24.998817,467.57758,511.61322,71.779732,144.95407,"00000","1","1",,,,,,
"3",3.5143857,5.5911722,5,251452,15384,33276,55855,79093,104339,71,157792,215943,953,4966,1507.9073,673.71942,801.95691,924.09033,1033.9644,1145.6276,158.13351,1374.9493,1496.9463,350.95157,503.90967,563807,13501,32889,62495,98929,152215,42,279392,437729,954,4741,591.68964,239.82156,311.4729,371.3186,416.45163,457.4248,24.63991,538.97424,578.51813,89.615654,157.95721,"00000","1","0",,,,,,
"4",3.6756024,5.6230369,6,60389,9531,19534,30394,39649,48152,122,55825,59417,901,3388,1487.814,668.89429,796.39984,914.19067,1032.9518,1150.6785,147.97778,1373.3605,1483.5614,343.74341,488.01382,129812,11931,26578,46037,65489,89064,96,124761,150113,969,4265,588.28027,229.56812,307.65305,362.81976,412.32367,451.1911,29.732868,532.83014,574.29926,89.075951,150.59061,"00000","1","0",,,,,,
"5",3.315809,5.7051582,5,45669,9414,16818,24428,30562,35402,138,40993,44870,1098,3672,1464.6696,663.90668,789.96527,904.91785,1030.5391,1149.7161,139.82751,1368.7765,1463.7305,337.54977,483.04694,92980,10579,21386,35041,48052,64837,125,89684,106919,1218,3839,580.10333,212.13605,293.45276,346.66989,393.18011,435.38287,33.010204,513.0528,562.034,82.75782,142.38707,"00000","1","0",,,,,,
"6",3.3594038,5.781271,5,49871,9995,17435,25419,32088,37792,150,44821,49072,1327,4172,1461.8917,664.51703,788.76221,910.34534,1033.6113,1163.7124,145.90421,1374.7211,1461.8917,332.31857,493.45163,89592,11283,21635,34929,47592,64309,102,87801,104015,1296,4007,572.4325,204.8266,286.06754,335.08029,385.03436,426.73975,31.084728,498.72519,552.94574,82.941353,139.91629,"00000","1","0",,,,,,
"7",2.974241,5.8027897,5,9054,2421,3826,5617,6705,7914,79,8914,9054,749,1512,1467.4805,659.81995,788.88934,920.1073,1047.2196,1183.4821,173.99997,1396.712,1467.4805,344.3717,510.45438,73896,11142,20417,31739,42635,57929,36,77052,89154,818,3544,570.3576,199.82962,273.08459,332.18945,376.4155,413.62268,25.012894,478.7551,546.13123,68.436172,133.99536,"00000","1","0",,,,,,
"8",3.596657,5.905026,5,31808,5679,8008,11301,15178,20057,136,28200,31808,1372,3656,1427.6261,639.0885,764.69189,903.85657,1036.1049,1166.3361,172.97443,1382.376,1427.6261,328.54407,498.38455,69116,12411,21234,31768,42301,56702,82,74286,84416,1094,4487,560.47009,197.85927,259.11023,323.10342,378.16208,392.04172,21.71372,454.17023,529.01306,80.298752,139.53516,"00000","1","0",,,,,,
"9",4.7914758,6.6457758,5,25743,9649,14917,19517,22794,24953,117,25677,25743,1229,4495,1403.6462,624.52161,750.29944,901.85681,1036.0443,1165.6021,175.38591,1366.8401,1403.6462,338.64636,482.38681,2870,2479,3108,3013,3298,3303,76,3002,2922,1112,2454,497.95926,177.66466,228.03018,274.81177,323.6734,339.3378,24.76318,401.52902,459.21979,77.69648,123.20346,"00000","1","0",,,,,,
"10",3.8734305,6.3301792,5,73710,15644,24222,33575,43091,51984,287,66259,72903,1926,7111,1364.8884,609.94653,747.64075,893.53265,1038.1365,1153.0396,156.19209,1341.5419,1364.8884,327.26245,473.26657,9434,5604,6002,7099,8375,9103,292,9873,9981,2214,5054,523.18329,177.35789,231.06963,295.31354,350.86063,344.7406,31.6915,414.44272,485.10638,82.088959,130.10088,"00000","1","0",,,,,,
"11",3.058116,6.2088785,5,63417,13732,21494,29603,37473,44795,220,56244,62610,1683,6115,1399.2266,628.21155,760.55078,907.41577,1041.9493,1160.1407,162.75082,1366.7614,1399.2266,323.14917,492.31445,12369,4385,5412,7170,8464,10093,189,11638,12835,1430,2875,533.06866,172.57314,214.81837,272.35208,321.00568,363.2037,26.094187,429.85223,502.27646,72.629967,117.88162,"00000","1","0",,,,,,
"12",1.0508035,6.1927447,3,50061,10195,16839,23626,29957,35611,106,43944,49256,1065,4136,1434.8488,645.39325,779.48083,914.61694,1045.1885,1173.0032,165.07051,1382.7451,1434.8488,337.39334,503.17538,14128,3152,4436,6232,7354,9142,75,11730,14285,1036,1870,534.32697,174.84093,232.06413,283.49515,330.26648,375.95782,25.758249,440.9924,508.86197,71.791771,120.44238,"00000","1","0",,,,,,
"13",2.1543608,6.1729078,4,48876,10025,16607,23280,29439,34887,105,42827,48071,1072,4016,1460.3876,656.72931,783.23608,913.43549,1038.4281,1172.9857,156.66792,1388.6206,1460.3876,338.50369,504.90347,15946,3234,4887,6824,8051,9967,79,13120,16128,1051,1818,535.85095,181.23827,236.79994,293.60986,338.96213,385.07227,26.009651,456.00125,513.44427,73.002235,123.20225,"00000","1","0",,,,,,
"14",1.2076411,5.6989508,3,57824,7632,16433,27122,37596,46580,39,54012,56925,523,2511,1552.424,681.18829,822.34259,938.67944,1035.6541,1151.6196,155.82137,1390.4452,1534.6346,355.96884,519.9975,200646,11137,25384,46314,70589,97610,16,135479,160989,452,3296,580.48596,232.47472,297.13272,357.72067,396.37888,439.50769,19.106245,518.03717,563.8396,78.734863,159.24527,"00000","1","0",,,,,,
